,is_used_opportunity,transfered_data,start_datetime,end_datetime,origin,duration
0,0.0,0,1812056407.935,1812056435.241,Norilsk-KinoSat_110603,27.305999994277954
1,0.0,0,1812056407.935,1812056435.241,Magadan1-KinoSat_110602,27.305999994277954
2,0.0,0,1812056407.935,1812056435.241,Novosib-KinoSat_110603,27.305999994277954
3,0.0,0,1812056407.935,1812056435.241,Moscow-KinoSat_110604,27.305999994277954
4,0.0,0,1812056407.935,1812056435.241,Anadyr2-KinoSat_110602,27.305999994277954
5,0.0,0,1812056407.935,1812056435.241,Murmansk1-KinoSat_110603,27.305999994277954
6,0.0,0,1812056407.935,1812056435.241,Magadan2-KinoSat_110602,27.305999994277954
7,0.0,0,1812056407.935,1812056435.241,Murmansk2-KinoSat_110603,27.305999994277954
8,0.0,0,1812056435.241,1812056625.268,Norilsk-KinoSat_110603,190.02699995040894
9,0.0,0,1812056435.241,1812056625.268,Magadan1-KinoSat_110602,190.02699995040894
10,0.0,0,1812056435.241,1812056625.268,Novosib-KinoSat_110603,190.02699995040894
11,0.0,0,1812056435.241,1812056625.268,Moscow-KinoSat_110604,190.02699995040894
12,0.0,0,1812056435.241,1812056625.268,Anadyr2-KinoSat_110602,190.02699995040894
13,0.0,0,1812056435.241,1812056625.268,Moscow-KinoSat_110603,190.02699995040894
14,0.0,0,1812056435.241,1812056625.268,Murmansk1-KinoSat_110603,190.02699995040894
15,0.0,0,1812056435.241,1812056625.268,Magadan2-KinoSat_110602,190.02699995040894
16,0.0,0,1812056435.241,1812056625.268,Murmansk2-KinoSat_110603,190.02699995040894
17,0.0,0,1812056625.268,1812056664.576,Norilsk-KinoSat_110603,39.30800008773804
18,0.0,0,1812056625.268,1812056664.576,Magadan1-KinoSat_110602,39.30800008773804
19,0.0,0,1812056625.268,1812056664.576,Novosib-KinoSat_110603,39.30800008773804
20,0.0,0,1812056625.268,1812056664.576,Anadyr2-KinoSat_110602,39.30800008773804
21,0.0,0,1812056625.268,1812056664.576,Moscow-KinoSat_110603,39.30800008773804
