,is_used_opportunity,transfered_data,start_datetime,end_datetime,origin,duration
0,0.0,0,1812406072.553,1812406572.553,Moscow-KinoSat_110601,500.0
1,0.0,0,1812406572.553,1812406819.636,Moscow-KinoSat_110601,247.0829999446869
2,0.0,0,1812411858.085,1812412358.085,Moscow-KinoSat_110601,500.0
3,0.0,0,1812412358.085,1812412398.384,Moscow-KinoSat_110601,40.29900002479553
4,1.0,23564,1812416934.609,1812416980.633,Russia-KinoSat_110601,46.0239999294281
5,1.0,141072,1812417021.004,1812417296.535,Russia-KinoSat_110601,275.5310001373291
6,0.0,0,1812422707.369,1812423162.074,Russia-KinoSat_110601,454.70499992370605
7,1.0,149503,1812428533.744,1812428825.742,Russia-KinoSat_110601,291.9980001449585
8,0.0,0,1812428825.742,1812428915.772,Moscow-KinoSat_110601,90.02999997138977
9,0.9999999999999999,46095,1812428825.742,1812428915.772,Russia-KinoSat_110601,90.02999997138977
10,1.0,-2783,1812428915.772,1812429002.768,Moscow-KinoSat_110601,86.99599981307983
11,1.0,-5368,1812434243.925,1812434411.658,Moscow-KinoSat_110601,167.73300004005432
12,0.0,0,1812434411.658,1812434649.082,Moscow-KinoSat_110601,237.42400002479553
13,1.0,121561,1812434411.658,1812434649.082,Russia-KinoSat_110601,237.42400002479553
14,1.0,-6406,1812434649.082,1812434849.262,Moscow-KinoSat_110601,200.1800000667572
15,1.0,-4411,1812439861.208,1812439999.071,Moscow-KinoSat_110601,137.86300015449524
16,0.902337572722079,-10888,1812439999.071,1812440376.149,Moscow-KinoSat_110601,377.077999830246
17,0.09766242727792078,18855,1812439999.071,1812440376.149,Russia-KinoSat_110601,377.077999830246
18,1.0,-1340,1812440376.149,1812440418.035,Moscow-KinoSat_110601,41.88600015640259
19,0.0,0,1812440418.035,1812440477.696,Moscow-KinoSat_110601,59.66100001335144
20,1.0,30546,1812440418.035,1812440477.696,Russia-KinoSat_110601,59.66100001335144
21,1.0,-4780,1812440477.696,1812440627.061,Moscow-KinoSat_110601,149.36500000953674
22,1.0,-16000,1812445657.655,1812446157.655,Moscow-KinoSat_110601,500.0
23,1.0,-6681,1812446157.655,1812446366.44,Moscow-KinoSat_110601,208.7850000858307
24,1.0,-2575,1812451819.492,1812451899.982,Moscow-KinoSat_110601,80.49000000953674
25,1.0,-15392,1812481761.064,1812482242.047,Moscow-KinoSat_110601,480.9830000400543
26,1.0,-16000,1812487440.168,1812487940.168,Moscow-KinoSat_110601,500.0
27,1.0,-8260,1812487940.168,1812488198.308,Moscow-KinoSat_110601,258.1400001049042
