,is_used_opportunity,transfered_data,index,start_datetime,end_datetime,origin,duration
0,0.0,0,28,1811797201.0,1811797211.664,Anadyr2-KinoSat_110907,10.664000034332275
1,0.0,0,29,1811797201.0,1811797211.664,Moscow-KinoSat_110909,10.664000034332275
2,0.0,0,30,1811797201.0,1811797211.664,Irkutsk-KinoSat_110908,10.664000034332275
3,0.0,0,31,1811797201.0,1811797211.664,Murmansk1-KinoSat_110908,10.664000034332275
4,0.0,0,32,1811797201.0,1811797211.664,Novosib-KinoSat_110909,10.664000034332275
5,0.0,0,33,1811797201.0,1811797211.664,Norilsk-KinoSat_110908,10.664000034332275
6,0.0,0,34,1811797201.0,1811797211.664,Murmansk2-KinoSat_110908,10.664000034332275
7,0.0,0,35,1811797201.0,1811797211.664,Novosib-KinoSat_110908,10.664000034332275
8,0.0,0,36,1811797211.664,1811797247.169,Anadyr2-KinoSat_110907,35.50499987602234
9,0.0,0,37,1811797211.664,1811797247.169,Irkutsk-KinoSat_110908,35.50499987602234
10,0.0,0,38,1811797211.664,1811797247.169,Murmansk1-KinoSat_110908,35.50499987602234
11,0.0,0,39,1811797211.664,1811797247.169,Novosib-KinoSat_110909,35.50499987602234
12,0.0,0,40,1811797211.664,1811797247.169,Norilsk-KinoSat_110908,35.50499987602234
13,0.0,0,41,1811797211.664,1811797247.169,Murmansk2-KinoSat_110908,35.50499987602234
14,0.0,0,42,1811797211.664,1811797247.169,Novosib-KinoSat_110908,35.50499987602234
15,0.0,0,43,1811797247.169,1811797256.562,Anadyr2-KinoSat_110907,9.39300012588501
16,0.0,0,44,1811797247.169,1811797256.562,Irkutsk-KinoSat_110908,9.39300012588501
17,0.0,0,45,1811797247.169,1811797256.562,Murmansk1-KinoSat_110908,9.39300012588501
18,0.0,0,46,1811797247.169,1811797256.562,Moscow-KinoSat_110908,9.39300012588501
19,0.0,0,47,1811797247.169,1811797256.562,Novosib-KinoSat_110909,9.39300012588501
20,0.0,0,48,1811797247.169,1811797256.562,Norilsk-KinoSat_110908,9.39300012588501
21,0.0,0,49,1811797247.169,1811797256.562,Murmansk2-KinoSat_110908,9.39300012588501
22,0.0,0,50,1811797247.169,1811797256.562,Novosib-KinoSat_110908,9.39300012588501
23,0.0,0,51,1811797256.562,1811797388.869,Anadyr2-KinoSat_110907,132.3069999217987
24,0.0,0,52,1811797256.562,1811797388.869,Irkutsk-KinoSat_110908,132.3069999217987
25,0.0,0,53,1811797256.562,1811797388.869,Murmansk1-KinoSat_110908,132.3069999217987
26,0.0,0,54,1811797256.562,1811797388.869,Moscow-KinoSat_110908,132.3069999217987
27,0.0,0,55,1811797256.562,1811797388.869,Norilsk-KinoSat_110908,132.3069999217987
28,0.0,0,56,1811797256.562,1811797388.869,Murmansk2-KinoSat_110908,132.3069999217987
29,0.0,0,57,1811797256.562,1811797388.869,Novosib-KinoSat_110908,132.3069999217987
30,0.0,0,66,1811797388.869,1811797441.935,Magadan2-KinoSat_110907,53.06599998474121
31,0.0,0,67,1811797388.869,1811797441.935,Anadyr2-KinoSat_110907,53.06599998474121
32,0.0,0,68,1811797388.869,1811797441.935,Irkutsk-KinoSat_110908,53.06599998474121
33,0.0,0,69,1811797388.869,1811797441.935,Murmansk1-KinoSat_110908,53.06599998474121
