,is_used_opportunity,transfered_data,index,start_datetime,end_datetime,origin,duration
0,0.0,0,0,1811797304.701,1811797476.904,Anadyr2-KinoSat_110508,172.20300006866455
1,0.0,0,3,1811797476.904,1811797850.768,Magadan2-KinoSat_110508,373.8639998435974
2,0.0,0,4,1811797476.904,1811797850.768,Magadan1-KinoSat_110508,373.8639998435974
3,0.0,0,5,1811797476.904,1811797850.768,Anadyr2-KinoSat_110508,373.8639998435974
4,0.0,0,6,1811797850.768,1811798020.201,Magadan2-KinoSat_110508,169.43300008773804
5,0.0,0,7,1811797850.768,1811798020.201,Magadan1-KinoSat_110508,169.43300008773804
6,0.0,0,8,1811797850.768,1811798020.201,Anadyr2-KinoSat_110508,169.43300008773804
7,0.0,0,9,1811797850.768,1811798020.201,Norilsk-KinoSat_110508,169.43300008773804
8,0.0,0,15,1811798020.201,1811798038.164,Magadan1-KinoSat_110508,17.963000059127808
9,0.0,0,16,1811798020.201,1811798038.164,Murmansk2-KinoSat_110508,17.963000059127808
10,0.0,0,17,1811798020.201,1811798038.164,Murmansk1-KinoSat_110508,17.963000059127808
11,0.0,0,18,1811798020.201,1811798038.164,Magadan2-KinoSat_110508,17.963000059127808
12,0.0,0,19,1811798020.201,1811798038.164,Anadyr2-KinoSat_110508,17.963000059127808
13,0.0,0,20,1811798020.201,1811798038.164,Norilsk-KinoSat_110508,17.963000059127808
14,0.0,0,26,1811798038.164,1811798069.356,Murmansk2-KinoSat_110508,31.191999912261963
15,0.0,0,27,1811798038.164,1811798069.356,Murmansk1-KinoSat_110508,31.191999912261963
16,0.0,0,28,1811798038.164,1811798069.356,Anadyr2-KinoSat_110508,31.191999912261963
17,0.0,0,29,1811798038.164,1811798069.356,Norilsk-KinoSat_110508,31.191999912261963
18,0.0,0,30,1811798069.356,1811798212.934,Murmansk2-KinoSat_110508,143.57800006866455
19,0.0,0,31,1811798069.356,1811798212.934,Murmansk1-KinoSat_110508,143.57800006866455
20,0.0,0,32,1811798069.356,1811798212.934,Norilsk-KinoSat_110508,143.57800006866455
